Postnummer,Poststedsnavn,Kategori,Primærkommunenummer,Primærkommunenavn,Primærfylkenummer,Primærfylke,X_gateadresser,Y_gateadresser,X_postbokser,Y_postbokser,Latitude_gateadresser,Longitude_gateadresser,Latitude_postbokser,Longitude_postbokser
4049,HAFRSFJORD,G,1103,STAVANGER,11,ROGALAND,6574643,-38980,,,58.9694963591669,5.60708169681537,,
4050,SOLA,G,1124,SOLA,11,ROGALAND,6565316,-37627,,,58.8885455782612,5.65286290766176,,
4051,SOLA,G,1124,SOLA,11,ROGALAND,6564223,-36793,,,58.8799002619292,5.66977327535018,,
4052,RØYNEBERG,G,1124,SOLA,11,ROGALAND,6567692,-35943,,,58.9117018765598,5.67597477145996,,
4053,RÆGE,G,1124,SOLA,11,ROGALAND,6562369,-40292,,,58.8590976991491,5.61438171283494,,
4054,TJELTA,G,1124,SOLA,11,ROGALAND,6560553,-41524,,,58.8414617028504,5.59771302173772,,
4055,SOLA,G,1124,SOLA,11,ROGALAND,6566296,-38054,,,58.8966961752996,5.643186190247,,
4056,TANANGER,G,1124,SOLA,11,ROGALAND,6571101,-41284,,,58.9352168678539,5.57619513127462,,
4057,TANANGER,G,1124,SOLA,11,ROGALAND,6572340,-40800,,,58.9468033440747,5.58147284917233,,
4058,TANANGER,G,1124,SOLA,11,ROGALAND,6573263,-39829,,,58.9562025823803,5.59587550653142,,
4059,RØYNEBERG,P,1124,SOLA,11,ROGALAND,,,6563966,-36808,,,58.8776040442392,5.67013521920742
4063,TJELTA,P,1124,SOLA,11,ROGALAND,,,6560635,-41527,,,58.8421844688046,5.5974631136127
4068,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6556655,-36228,,,58.813533030223,5.6976038943837
4070,RANDABERG,G,1127,RANDABERG,11,ROGALAND,6577874,-37844,,,58.9995502506295,5.61872341696673,,
4071,RANDABERG,G,1127,RANDABERG,11,ROGALAND,6578518,-39240,,,59.0035020931213,5.59318119021978,,
4072,RANDABERG,G,1127,RANDABERG,11,ROGALAND,6578401,-35944,,,59.0066001797014,5.65007696388826,,
4073,RANDABERG,G,1127,RANDABERG,11,ROGALAND,6576327,-37716,,,58.9860035114279,5.62468118212126,,
4075,STAVANGER,G,1103,STAVANGER,11,ROGALAND,6573801,-25804,,,58.9783835079486,5.83527327964841,,
4076,VASSØY,G,1103,STAVANGER,11,ROGALAND,6576344,-28376,,,58.9977663906843,5.78503868995394,,
4077,HUNDVÅG,G,1103,STAVANGER,11,ROGALAND,6574931,-30678,,,58.9823981901666,5.74888215778903,,
4078,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6569616,-31743,,,58.9339694537244,5.7433393836353
4079,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6565210,-33624,,,58.8925871160222,5.72165773569218
4081,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6571708,-34153,,,58.9495212796414,5.69698836786844
4082,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6575994,-33779,,,58.9879711564123,5.69307992182231
4083,HUNDVÅG,G,1103,STAVANGER,11,ROGALAND,6577285,-30000,,,59.0041024573061,5.75488478538912,,
4084,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6575994,-33779,,,58.9879711564123,5.69307992182231
4085,HUNDVÅG,G,1103,STAVANGER,11,ROGALAND,6575740,-29441,,,58.9910982490587,5.7681881737783,,
4086,HUNDVÅG,P,1103,STAVANGER,11,ROGALAND,,,6576189,-30792,,,58.9934076691285,5.74390765591721
4087,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6566506,-32823,,,58.9050665999032,5.73227399311738
4088,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6569616,-31743,,,58.9339694537244,5.7433393836353
4089,HAFRSFJORD,P,1103,STAVANGER,11,ROGALAND,,,6572304,-36386,,,58.952019785646,5.65725136779981
4090,HAFRSFJORD,P,1103,STAVANGER,11,ROGALAND,,,6572304,-36386,,,58.952019785646,5.65725136779981
4091,HAFRSFJORD,P,1103,STAVANGER,11,ROGALAND,,,6572304,-36386,,,58.952019785646,5.65725136779981
4092,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6574192,-32325,,,58.9738074142601,5.72238009866247
4093,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6573504,-30585,,,58.9698644695289,5.7538973477751
4094,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6573350,-33530,,,58.9648483464071,5.70372421649821
4095,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6569616,-31743,,,58.9339694537244,5.7433393836353
4096,RANDABERG,P,1127,RANDABERG,11,ROGALAND,,,6577775,-37971,,,58.9985136912688,5.6167832859605
4097,SOLA,P,1124,SOLA,11,ROGALAND,,,6565001,-38073,,,58.8851970593504,5.64598826176654
4098,TANANGER,P,1124,SOLA,11,ROGALAND,,,6571502,-40691,,,58.9395161589851,5.58538248100364
4099,STAVANGER,P,1103,STAVANGER,11,ROGALAND,,,6569616,-31743,,,58.9339694537244,5.7433393836353
4100,JØRPELAND,G,1130,STRAND,11,ROGALAND,6577080,-13398,,,59.022505107441,6.04081223415792,,
4102,IDSE,G,1130,STRAND,11,ROGALAND,6573947,-19636,,,58.9871960884026,5.94088017406167,,
4103,JØRPELAND,G,1130,STRAND,11,ROGALAND,6577628,-13959,,,59.026693225462,6.02988467761931,,
4104,JØRPELAND,G,1130,STRAND,11,ROGALAND,6577419,-12844,,,59.0261763984226,6.04955622220476,,
4105,JØRPELAND,G,1130,STRAND,11,ROGALAND,6572540,-11032,,,58.9850563014268,6.09201959719271,,
4110,FORSAND,G,1108,SANDNES,11,ROGALAND,6563391,-11517,,,58.9033043748465,6.10476848829022,,
4119,FORSAND,P,1108,SANDNES,11,ROGALAND,,,6563497,-12236,,,58.9033892791408,6.09219518290125
4120,TAU,G,1130,STRAND,11,ROGALAND,6582678,-19512,,,59.064775781485,5.92246059791155,,
4121,TAU,G,1130,STRAND,11,ROGALAND,6581444,-16680,,,59.0572638119841,5.9741299256548,,
4123,SØR-HIDLE,G,1130,STRAND,11,ROGALAND,6581502,-25279,,,59.047303256963,5.82597922714181,,
4124,TAU,P,1130,STRAND,11,ROGALAND,,,6582722,-19547,,,59.0651234360004,5.92175404551549
4126,JØRPELAND,P,1130,STRAND,11,ROGALAND,,,6576976,-13368,,,59.0216184940577,6.04157021198774
4127,LYSEBOTN,G,1108,SANDNES,11,ROGALAND,6576196,21763,,,59.0554064834018,6.6485213262791,,
4128,FLØRLI,G,1108,SANDNES,11,ROGALAND,6573218,8389,,,59.0137957758864,6.42458830268093,,
4129,SONGESAND,G,1108,SANDNES,11,ROGALAND,6574411,2771,,,59.0179016458391,6.32519293445232,,
4130,HJELMELAND,G,1133,HJELMELAND,11,ROGALAND,6599671,-2257,,,59.2362151082958,6.18077328921986,,
4134,JØSENFJORDEN,G,1133,HJELMELAND,11,ROGALAND,6607969,14090,,,59.3289393979333,6.44546009578167,,
4137,ÅRDAL I RYFYLKE,G,1133,HJELMELAND,11,ROGALAND,6590584,-4607,,,59.1527956690178,6.16109480688562,,
4139,FISTER,G,1133,HJELMELAND,11,ROGALAND,6593875,-9559,,,59.1760972982369,6.06789352276704,,
4146,SKIFTUN,G,1133,HJELMELAND,11,ROGALAND,6605091,-3955,,,59.2822956568646,6.13879222992568,,
4148,HJELMELAND,P,1133,HJELMELAND,11,ROGALAND,,,6599456,-3088,,,59.2333232996959,6.16687903261838
4150,RENNESØY,G,1103,STAVANGER,11,ROGALAND,6588075,-31802,,,59.0974991878828,5.69788877500534,,
4152,VESTRE ÅMØY,G,1103,STAVANGER,11,ROGALAND,6581875,-33046,,,59.0410032774278,5.691476170301,,
4153,BRIMSE,G,1103,STAVANGER,11,ROGALAND,6585782,-25888,,,59.0844982486972,5.80527597297194,,
4154,AUSTRE ÅMØY,G,1103,STAVANGER,11,ROGALAND,6581032,-29231,,,59.038266754457,5.75911715062523,,
4156,MOSTERØY,G,1103,STAVANGER,11,ROGALAND,6586163,-34569,,,59.0771013838852,5.654879949614,,
4158,BRU,G,1103,STAVANGER,11,ROGALAND,6581887,-34980,,,59.0386962285892,5.65819058451802,,
4159,RENNESØY,P,1103,STAVANGER,11,ROGALAND,,,6588091,-31855,,,59.0975749675438,5.69693707538166
4160,FINNØY,G,1103,STAVANGER,11,ROGALAND,6594826,-20658,,,59.1710991684053,5.87389169134952,,
4161,FINNØY,P,1103,STAVANGER,11,ROGALAND,,,6594918,-20475,,,59.1721387015471,5.87683323961862
4163,TALGJE,G,1103,STAVANGER,11,ROGALAND,6587910,-23498,,,59.1063010947014,5.84137499416792,,
4164,FOGN,G,1103,STAVANGER,11,ROGALAND,6590591,-19301,,,59.1352033657682,5.90738194119563,,
4167,HELGØY I RYFYLKE,G,1133,HJELMELAND,11,ROGALAND,6589848,-12704,,,59.1365996733579,6.0229827766244,,
4168,BYRE,G,1103,STAVANGER,11,ROGALAND,6593039,-15114,,,59.1619959896578,5.97387792929706,,
4169,SØRBOKN,G,1103,STAVANGER,11,ROGALAND,6593348,-16716,,,59.1627954612148,5.94548068145984,,
4170,SJERNARØY,G,1103,STAVANGER,11,ROGALAND,6604140,-21539,,,59.2525983250972,5.83638678218316,,
4173,NORD-HIDLE,G,1103,STAVANGER,11,ROGALAND,6602322,-18832,,,59.2397972374408,5.88759123927745,,
4174,SJERNARØY,P,1103,STAVANGER,11,ROGALAND,,,6601260,-21953,,,59.2265564685489,5.83613122240722
4180,KVITSØY,G,1144,KVITSØY,11,ROGALAND,6586583,-49181,,,59.0622988720914,5.4024697539291,,
4181,KVITSØY,P,1144,KVITSØY,11,ROGALAND,,,6586573,-49090,,,59.0623271841991,5.40405928850947
4182,SKARTVEIT,B,1103,STAVANGER,11,ROGALAND,6596989,-15542,6597082,-15578,59.1965099533982,5.95716207037779,59.1972910945733,5.9563198914035
4187,OMBO,G,1103,STAVANGER,11,ROGALAND,6601454,-16040,,,59.2355030293446,5.93797650689756,,
4198,FOLDØY,G,1134,SULDAL,11,ROGALAND,6612535,-13057,,,59.3373963901633,5.96338201106629,,
4200,SAUDA,G,1135,SAUDA,11,ROGALAND,6643844,13119,,,59.6463450071773,6.34687073310749,,
4201,SAUDA,P,1135,SAUDA,11,ROGALAND,,,6644087,13756,,,59.6492444640505,6.35748339935909
4208,SAUDASJØEN,G,1135,SAUDA,11,ROGALAND,6643857,10833,,,59.6437892090512,6.30675371010881,,
4209,VANVIK,G,1134,SULDAL,11,ROGALAND,6632403,12313,,,59.543836681179,6.3590343745882,,
4230,SAND,G,1134,SULDAL,11,ROGALAND,6626653,5375,,,59.4846792233172,6.25108515671475,,
4233,ERFJORD,G,1134,SULDAL,11,ROGALAND,6611659,2682,,,59.3484327926388,6.23880742697648,,
4234,JELSA,G,1134,SULDAL,11,ROGALAND,6612051,-9481,,,59.3374272264148,6.02661209013435,,
4235,HEBNES,G,1134,SULDAL,11,ROGALAND,6614917,-12742,,,59.3589037393175,5.9631925651633,,
4237,SULDALSOSEN,G,1134,SULDAL,11,ROGALAND,6625556,20640,,,59.4926287061117,6.52007249985907,,
4238,ERFJORD,P,1134,SULDAL,11,ROGALAND,,,6611567,2631,,,59.3475562477564,6.23813311320234
4239,SAND,P,1134,SULDAL,11,ROGALAND,,,6626562,5335,,,59.4838244890723,6.25059772452544
4240,SULDALSOSEN,P,1134,SULDAL,11,ROGALAND,,,6625467,20359,,,59.4915175559639,6.51536449245109
4244,NESFLATEN,G,1134,SULDAL,11,ROGALAND,6640614,38515,,,59.6464922152829,6.79976379650776,,
4250,KOPERVIK,G,1149,KARMØY,11,ROGALAND,6611845,-51048,,,59.28354104421,5.30668604932571,,
4260,TORVASTAD,G,1149,KARMØY,11,ROGALAND,6623207,-53126,,,59.3813951775061,5.24167132845424,,
4262,AVALDSNES,G,1149,KARMØY,11,ROGALAND,6619822,-51230,,,59.3539134963304,5.28321608922179,,
4264,KVALAVÅG,G,1149,KARMØY,11,ROGALAND,6616924,-55939,,,59.3221026584605,5.20905928571171,,
